,id,suggestion,author,date_created,last_upvoted,comments,status,votes
274,173095,Multiple search locations,Frank the Dog from Men In Black 2,"23 Mar, 2021",14 Jul,1,Open,13
275,225427,Clarify interested in,N.,"18 Oct, 2021",20 Aug,0,Open,13
276,193363,Reasons for swiping,Holly,"23 Jun, 2021",28 Jul,0,Open,13
277,173511,No gun photos,Lj,"24 Mar, 2021",21 Sep,21,Open,12
278,177626,Repeal height filter,Aaron,"09 Apr, 2021",10 Oct,11,Open,12
279,196148,Filter unwanted names,Anne Lester,"06 Jul, 2021",12 Jul,6,Closed,12
280,198728,Read receipts for sent notes,Jeff,"20 Jul, 2021",13 Oct,5,Open,12
281,176295,Metric vs imperial on height,Anonymous,"04 Apr, 2021",07 Jul,3,Open,12
282,218963,Allow users to hide read receipts,Michael Allen,"26 Sep, 2021",15 Oct,2,Open,12
283,196166,Change location,Chantelle,"06 Jul, 2021",04 Oct,1,Closed,12
284,223698,Be notified when a match decides to say goodbye,DJ,"11 Oct, 2021",21 Sep,0,Open,12
285,210998,Superlike feature,alberthallingtonianianan,"31 Aug, 2021",20 Aug,0,Open,12
286,187180,Purge users,Bparks,"25 May, 2021",21 Sep,0,Closed,12
287,164959,Tagging the other people in the photo,Alex,"02 Mar, 2021",09 Aug,1,Closed,11
288,186991,Check to mark your divorce is finalized,A,"23 May, 2021",21 Aug,0,Closed,11
289,185111,Healthy fitness level filter,Anonymous,"13 May, 2021",08 Sep,3,Open,10
290,211333,Liked image,Payton,"02 Sep, 2021",20 Aug,0,Open,10
291,186730,Reviews would be fun,j the Zuni,"21 May, 2021",11 Jun,9,Closed,9
292,308444,Lower prices of inapp purchases subscriptions,Tim W,16 Jun,09 Aug,5,Closed,9
293,201800,Add a lifetime membership option,T,"05 Aug, 2021",13 Oct,5,Open,9
294,174229,Social media section,Khiler,"27 Mar, 2021",05 Jan,5,Closed,9
295,165097,Filter instagram profile,Leonard,"02 Mar, 2021",13 Oct,5,Closed,9
296,175219,Down to chat toggle,Jairon Terrero,"30 Mar, 2021",13 Oct,3,Open,9
297,190987,Account vacationtake a break mode,Adam Proctor,"13 Jun, 2021",21 Sep,2,Closed,9
298,232162,More info snippets,Sid,"12 Nov, 2021",20 Aug,1,Open,9
299,196140,Sort matches by distance,Ddport,"06 Jul, 2021",20 Aug,1,Open,9
300,161005,See who i have liked,Moses,"19 Feb, 2021",today,81,Feedback Needed,1.2000
301,170983,Watch an ad to see a person who likes you,Anonymous,"19 Mar, 2021",yesterday,35,Feedback Needed,627
302,161962,Last onlinerecently active,Moses,"22 Feb, 2021",today,54,Feedback Needed,598
303,177816,Skip a profile save for later,Brian,"11 Apr, 2021",today,42,Feedback Needed,521
304,164928,Filter church activity,Moses,"01 Mar, 2021",30 Oct,47,Released,483
305,296565,Remove swipe limit,Sheppard,30 Apr,yesterday,66,Feedback Needed,381
306,161000,Dark mode,Moses,"19 Feb, 2021",2 days ago,11,Feedback Needed,224
307,169459,Voice messaging,Johnson Daniel Kalu,"15 Mar, 2021",30 Oct,18,Feedback Needed,206
308,164962,Hide inactive profiles,Dallin,"02 Mar, 2021",today,4,Feedback Needed,199
